name,address,latitude,longitude,category
Maruetsu (マルエツ お台場店),台場1-5-3,35.62972763249496,139.77809968138106,スーパーマーケット
マルエツ プチ,赤坂2-14-27,35.67249460836449,139.73674955102595,スーパーマーケット
Maruetsu Petit (マルエツ プチ 四谷二丁目店),四谷2-1,35.68673954716567,139.727240743457,スーパーマーケット
Maruetsu Petit (マルエツ プチ 一番町店),一番町6,35.68707047317602,139.74149620234866,スーパーマーケット
Maruetsu (マルエツ 赤羽台店),赤羽台2-4-53,35.777403241671514,139.71371075554595,スーパーマーケット
Maruetsu Petit (マルエツ プチ 芝二丁目店),芝2-15-13,35.650773205991676,139.7524827718735,スーパーマーケット
マルエツ プチ 汐留シオサイト店,海岸1-1-1,35.65807794970702,139.75839895073474,スーパーマーケット
マルエツプチ 新橋五丁目店,新橋5-1-9,35.66453865910794,139.7532197512215,スーパーマーケット
maruetsu (マルエツ 東上野店),東上野5-17-11,35.71368626693697,139.78296130271391,スーパーマーケット
Maruetsu Petit (マルエツ プチ 神田司町店),神田司町2-6,35.69352397403585,139.76766139268878,スーパーマーケット
マルエツ プチ 小伝馬町駅前店,日本橋小伝馬町13-4,35.69113321137571,139.77918067088248,スーパーマーケット
Maruetsu Petit (マルエツ プチ 神田神保町二丁目店),神田神保町2-44,35.69802072410844,139.75610214490973,スーパーマーケット
Maruetsu (マルエツ 市ヶ谷見附店),市谷八幡町2-1 (大手町建物市ヶ谷ビル 1F),35.69217817391388,139.73502794381713,スーパーマーケット
マルエツ プチ 早稲田店,喜久井町10 (イプセ新宿夏目坂),35.704808933925534,139.72061637163628,スーパーマーケット
Maruetsu (マルエツ 中野若宮店),若宮2-42-1,35.71668641554946,139.64191956244312,スーパーマーケット
マルエツ プチ 両国緑一丁目店,緑1-15-12,35.694662144789405,139.7985883179445,スーパーマーケット
マルエツプチ 本所四丁目店,本所4-20-3,35.704537378851924,139.8047114908855,スーパーマーケット
Maruetsu (マルエツ 板橋駅前店),板橋1-1-1,35.7459423482368,139.7184012914178,スーパーマーケット
Maruetsu (マルエツ 新井薬師前店),上高田3-39-14,35.71536641826906,139.67214735591585,スーパーマーケット
Maruetsu Petit (マルエツ プチ 中落合一丁目店),中落合1-6-13,35.71685718688075,139.69039514303645,スーパーマーケット
マルエツ プチ 東日暮里店,東日暮里5-16-1,35.72570554207977,139.77608752773534,スーパーマーケット
マルエツ プチ 駒込中里1丁目店,中里1-5-3,35.73663958246382,139.74973331220454,スーパーマーケット
Maruetsu Petit (マルエツ プチ 飯田橋店),揚場町2-20 (島田ビル),35.702666004468554,139.743030667305,スーパーマーケット
Maruetsu Petit Suginami Shimizu (マルエツプチ 杉並清水店),清水3-29-15,35.719063,139.61621,スーパーマーケット
Maruetsu Yoyogi-Uehara (マルエツ 代々木上原店),上原1-18-12 (高木ビル1F),35.66875017103839,139.68253207138187,スーパーマーケット
Maruetsu Petit (マルエツ プチ 東池袋三丁目店),東池袋3-21-21,35.731790811117136,139.71995855007472,スーパーマーケット
Maruetsu (マルエツ 池袋店),南町22-14,35.73830974266167,139.70397310623994,スーパーマーケット
Maruetsu Petit (マルエツ プチ 新大塚店),東池袋5-51-12,35.72653490789061,139.72887056303628,スーパーマーケット
Maruetsu (マルエツ 登戸駅前店),多摩区登戸2428,35.6205336015296,139.56847388584544,スーパーマーケット
Maruetsu Petit (マルエツ プチ 池之端二丁目店),池之端2-7-27,35.71593738011097,139.7669120003757,スーパーマーケット
マルエツ プチ 吉祥寺店,吉祥寺北町1-1-1 (桜井ビル1F),35.707492467187635,139.57948781058892,スーパーマーケット
マルエツ プチ 谷中三丁目店,谷中3-7-9,35.72621020877975,139.764445563809,スーパーマーケット
Maruetsu (マルエツ 浮間舟渡店),舟渡1-11-1,35.791379327884286,139.69109066697467,スーパーマーケット
Maruetsu (マルエツ かまた店),蒲田5-47-7,35.559562,139.716179,スーパーマーケット
Maruetsu (マルエツ 佃店),佃2-2-8 (リバーシティ21 G棟),35.66893219513567,139.78523144851422,スーパーマーケット
マルエツ プチ 西大井駅前店,西大井1-4-25 (コアスターレ西大井第一ビル 1F),35.602069,139.722413,スーパーマーケット
マルエツ 目黒店,下目黒2-21-23,35.632651,139.708624,スーパーマーケット
Maruetsu Petit (マルエツ プチ 白金台店),白金台4-7-8 (ストーリア白金台),35.637906453313605,139.72562313079834,スーパーマーケット
マルエツ 一橋学園店,学園東町1-4-5,35.723494104932286,139.48001064217806,スーパーマーケット
マルエツ プチ 西新宿六丁目店,西新宿6-15-1 (ラ・トゥール新宿 2F),35.692023073558346,139.68846648931506,スーパーマーケット
Maruetsu Petit (マルエツ プチ 中野中央店),中央1-13-8,35.701547862483885,139.6863889606389,スーパーマーケット
Maruetsu Petit (マルエツプチ 下落合駅前店),中落合1-1-25,35.716776752604815,139.69458556833922,スーパーマーケット
マルエツ プチ 不動前店,西五反田5-9-2,35.6256,139.71451000000002,スーパーマーケット
Maruetsu Petit (マルエツプチ 本駒込二丁目店),"文京区, 東京都",35.726948,139.74664,スーパーマーケット
Maruetsu Petit (マルエツ プチ 八丁堀店),八丁堀2-14-4 (ヤブ原ビル),35.676899,139.77688500000002,スーパーマーケット
マルエツ プチ 富ヶ谷一丁目店,富ヶ谷1-18-8,35.665917204745696,139.69218997993462,スーパーマーケット
Maruetsu (マルエツ 葛西クリーンタウン店),清新町1-3-6,35.66165220361562,139.85551264650115,スーパーマーケット
マルエツ 葛西店,東葛西5-2-2.,35.665113,139.873577,スーパーマーケット
